chimeric_reads,match,mismatch,chimeric,correct_chimeric,incorrect_chimeric,assignable_chimeric,unassigned_chimeric,match_chimeric,mismatch_chimeric,non_chimeric,correct_non_chimeric,incorrect_non_chimeric,assignable_non_chimeric,unassigned_non_chimeric,match_non_chimeric,mismatch_non_chimeric
568,475,93,277,237,1,18,21,277,0,291,81,0,117,0,198,93
512,429,83,243,208,1,19,15,243,0,269,92,0,94,0,186,83
574,477,97,295,241,2,22,30,295,0,279,88,0,94,0,182,97
515,428,87,254,215,4,19,16,254,0,261,74,0,100,0,174,87
619,521,98,286,234,6,20,26,286,0,333,96,0,139,0,235,98
579,472,107,266,222,2,19,23,266,0,313,89,0,117,0,206,107
533,469,64,270,214,6,20,30,270,0,263,95,0,104,0,199,64
572,481,91,287,240,1,18,28,287,0,285,78,0,116,0,194,91
444,370,74,214,182,4,11,17,214,0,230,78,0,78,0,156,74
526,440,86,272,224,3,17,28,272,0,254,77,0,91,0,168,86
615,527,88,291,257,3,9,22,291,0,324,96,0,140,0,236,88
